Parameters:EntityType=OFFLINECONVERSION;TimeZone=-0500;,,,,
Action,Google Click Id,Conversion Name,Conversion Value,Conversion Time
add,CMKd7IGn07sCFSUOOgodVBEAOw,Lead Sold,1151.64,'01/03/2014 07:01:00 PM' 
add,CKbRp8Ly1bsCFa4-Mgod7W0AOA,Lead Sold,1799.64,'12/29/2013 02:48:00 PM' 
add,CLCe4MK32LsCFfPm7Aod_0UAUw,Lead Sold,1367.64,'12/30/2013 12:48:00 PM' 
add,CJez5du82LsCFe3m7AodjBkAEw,Lead Sold,1511.64,'12/30/2013 12:05:00 PM' 
add,CITMoJ-W2bsCFShk7Aod208AQw,Lead Sold,1079.64,'12/30/2013 07:07:00 PM' 
add,CKX1r-3e2rsCFTJo7AodOkMApQ,Lead Sold,1619.64,'12/31/2013 10:01:00 AM' 
add,COC4koDA3bsCFQISMwodCmkA_Q,Lead Sold,1871.64,'01/08/2014 06:02:00 PM' 
add,CJ2z9e723bsCFU9afgodpFoA9Q,Lead Sold,1259.64,'01/01/2014 04:20:00 PM' 
add,CIv-i9mL3rsCFc6TfgodLRwA2g,Lead Sold,1799.64,'01/01/2014 06:13:00 PM' 
add,CJ6jvZGc37sCFYJqfgodyT0AXA,Lead Sold,2159.64,'01/02/2014 10:44:00 AM' 
add,CPjBlIWS3bsCFShk7Aod208AQw,Lead Sold,1871.64,'01/14/2014 03:56:00 PM' 
add,CO6r1KLj4LsCFUMV7AodviQAhA,Lead Sold,1190.64,'01/02/2014 07:29:00 PM' 
add,CLu0hJXX4bsCFUQ6Qgodj1wAfQ,Lead Sold,2538.64,'01/03/2014 11:17:00 AM' 
add,CMaTx-bZ4rsCFUgS7AodKnIATQ,Lead Sold,1151.64,'01/03/2014 02:03:00 PM' 
add,CODI0d364rsCFZZsfgodvQsAog,Lead Sold,1871.64,'01/03/2014 04:17:00 PM' 
add,CKbkvtOL5bsCFeU5Qgod3SQAbA,Lead Sold,1547.64,'01/04/2014 06:38:00 PM' 
add,CPqoh_jDwLsCFfPm7Aod_0UAUw,Lead Sold,1619.64,'01/16/2014 01:16:00 PM' 
add,CLiB167657sCFWQOOgodW30AnQ,Lead Sold,2117.28,'01/05/2014 04:33:00 PM' 
add,CKWX5Pz_57sCFeHm7AoduC0Auw,Lead Sold,1799.28,'01/05/2014 04:43:00 PM' 
add,CM30zK6x6bsCFaHm7AodQ2IADg,Lead Sold,2519.28,'01/06/2014 02:31:00 PM' 
add,CK7U3oGN6rsCFWQOOgodW30AnQ,Lead Sold,1871.64,'01/06/2014 12:44:00 PM' 
add,CNDrxLCc7LsCFTRo7AodsA4Amg,Lead Sold,1250.64,'01/14/2014 03:04:00 PM' 
add,CJ-Z6rzG7LsCFUtp7AodLkEAVA,Lead Sold,2159.64,'01/07/2014 03:35:00 PM' 
add,COGxz-n87LsCFahj7AodDioADw,Lead Sold,1331.64,'01/11/2014 12:54:00 PM' 
add,CKeK94bk7rsCFTEV7Aod5WIAdA,Lead Sold,1691.64,'01/08/2014 10:11:00 AM' 
add,COWD8PyP77sCFUsV7AodmX8AFw,Lead Sold,1691.64,'01/08/2014 12:16:00 PM' 
add,CJ_wzpC-77sCFYEl4godezwAuQ,Lead Sold,2159.28,'01/10/2014 08:58:00 AM' 
add,CLGVmei-77sCFTJp7AodJFcAtw,Lead Sold,1871.64,'01/17/2014 09:03:00 AM' 
add,CIyd1ty08bsCFSEV7AodHwMACg,Lead Sold,1871.28,'01/09/2014 10:38:00 AM' 
add,COKjqv7M8bsCFTJp7AodJFcAtw,Lead Sold,1583.64,'01/09/2014 02:42:00 PM' 
add,CNKczK3Q8bsCFcZZ7AodiXoAUg,Lead Sold,1979.64,'01/10/2014 07:00:00 PM' 
add,CM7j6pmr8rsCFQbl7AodAWYAPQ,Lead Sold,719.64,'01/09/2014 07:37:00 PM' 
add,CJOR1OeC9LsCFcTm7AodkkkA9A,Lead Sold,1511.64,'01/10/2014 11:01:00 AM' 
add,CO_2wJbK9rsCFUgS7AodBkIAaw,Lead Sold,1322.64,'01/11/2014 04:16:00 PM' 
add,CLHzoKL6-LsCFShk7Aody0cAkg,Lead Sold,1619.64,'01/14/2014 01:46:00 PM' 
add,CL3F5-WY-7sCFeHm7AodKikAEA,Lead Sold,1230.64,'01/13/2014 09:15:00 AM' 
add,CKf_6Z-Z-7sCFWRk7AodAVUAiA,Lead Sold,1619.64,'01/13/2014 11:17:00 AM' 
add,CKjkpY2z-7sCFcQDOgod9zcAzQ,Lead Sold,1691.64,'01/13/2014 01:05:00 PM' 
add,CMj99Zzo_LsCFQeVfgodoBEAAA,Lead Sold,1691.28,'01/14/2014 12:47:00 PM' 
add,CP30lNLS_bsCFSvl7AodXVcADg,Lead Sold,1619.64,'01/14/2014 06:22:00 PM' 
add,CMbw36Kd_7sCFYlaMgodjlgAVw,Lead Sold,1151.64,'01/16/2014 02:58:00 PM' 
add,CODRqLrbgLwCFedAMgod_TEA-A,Lead Sold,1079.64,'01/15/2014 03:18:00 PM' 
add,CKeSjeeHgbwCFTJo7Aoda0QAKw,Lead Sold,1151.64,'01/15/2014 03:33:00 PM' 
add,COPn6bKmg7wCFUMV7Aod8EUA_w,Lead Sold,1367.64,'01/16/2014 01:54:00 PM' 
