Source,Lead_Id,Disposition,DispositionDate,CreditResponse,MonitoringRate,AdditionalEquipment
GOOGLEPPC,148511,SOLD,12/10/2013 09:06:00 AM,APPROVED 0,42.99,0
GOOGLEPPC,148533,SOLD,12/10/2013 04:07:00 PM,APPROVED 0,19.99,0
GOOGLEPPC,148542,SOLD,12/10/2013 02:39:00 PM,APPROVED 0,46.99,0
BINGPPC,148562,SOLD,12/10/2013 01:43:00 PM,APPROVED 0,61.99,0
BINGPPC,148582,SOLD,12/10/2013 03:47:00 PM,APPROVED 0,41.98,0
GOOGLEPPC,148616,SOLD,12/10/2013 05:10:00 PM,APPROVED 0,46.99,0
GOOGLEPPC,148617,SOLD,12/10/2013 04:30:00 PM,APPROVED 0,49.99,0
BINGPPC,148622,SOLD,12/11/2013 03:53:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,148654,SOLD,12/10/2013 07:46:00 PM,APPROVED 0,36.99,0
BINGPPC,148655,SOLD,12/10/2013 07:50:00 PM,APPROVED 0,41.99,0
BINGPPC,148659,SOLD,12/10/2013 08:42:00 PM,APPROVED 0,54.99,0
GOOGLEPPC,148662,SOLD,12/10/2013 08:24:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,148682,SOLD,12/13/2013 09:55:00 AM,APPROVED 0,41.98,0
GOOGLEPPC,148700,SOLD,12/12/2013 11:46:00 AM,APPROVED 0,56.99,0
PROTECT AMERICA,148737,SOLD,12/16/2013 10:54:00 AM,APPROVED 0,0,0
GOOGLEPPC,148833,SOLD,12/11/2013 05:39:00 PM,APPROVED 0,46.99,0
GOOGLEPPC,148870,SOLD,12/22/2013 05:10:00 PM,APPROVED 0,50.98,0
GOOGLEPPC,148909,SOLD,12/13/2013 09:06:00 AM,APPROVED 0,35.99,0
GOOGLEPPC,148993,SOLD,12/12/2013 10:43:00 AM,APPROVED 0,36.99,0
GOOGLEPPC,149013,SOLD,12/12/2013 10:10:00 AM,APPROVED 0,51.99,0
BINGPPC,149055,SOLD,12/12/2013 12:02:00 PM,APPROVED 0,51.99,0
PROTECT AMERICA,149060,SOLD,12/12/2013 09:25:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149066,SOLD,12/12/2013 12:55:00 PM,APPROVED 0,42.99,0
GOOGLEPPC,149086,SOLD,12/13/2013 09:07:00 AM,APPROVED 0,29.99,0
GOOGLEPPC,149090,SOLD,12/17/2013 11:17:00 AM,APPROVED 0,49.99,0
GOOGLEPPC,149098,SOLD,01/09/2014 09:04:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,149194,SOLD,12/12/2013 10:42:00 PM,APPROVED 0,19.99,0
GOOGLEPPC,149212,SOLD,12/19/2013 04:11:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149250,SOLD,12/13/2013 08:50:00 AM,APPROVED 0,47.98,0
GOOGLEPPC,149257,SOLD,12/13/2013 03:30:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,149265,SOLD,12/13/2013 11:27:00 AM,APPROVED 0,0,0
BINGPPC,149276,SOLD,12/13/2013 10:25:00 AM,APPROVED 0,31.99,0
BINGPPC,149280,SOLD,12/13/2013 11:56:00 AM,APPROVED 0,41.99,0
PROTECT AMERICA,149333,SOLD,12/13/2013 04:41:00 PM,APPROVED 0,29.98,0
BINGPPC,149365,SOLD,01/04/2014 01:10:00 PM,APPROVED 0,45.99,0
BINGPPC,149371,SOLD,12/13/2013 08:38:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,149393,SOLD,12/14/2013 01:42:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149433,SOLD,12/14/2013 12:20:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,149442,SOLD,12/14/2013 12:44:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,149451,SOLD,12/14/2013 01:47:00 PM,APPROVED 0,51.98,0
BINGPPC,149472,SOLD,12/14/2013 04:39:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149545,SOLD,12/15/2013 10:00:00 AM,APPROVED 0,42.99,0
BINGPPC,149551,SOLD,12/15/2013 10:53:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,149573,SOLD,12/15/2013 12:01:00 PM,APPROVED 0,47.99,0
PROTECT AMERICA,149589,SOLD,12/16/2013 08:58:00 AM,APPROVED 0,44.98,277
GOOGLEPPC,149612,SOLD,12/15/2013 04:16:00 PM,APPROVED 0,44.99,0
BINGPPC,149619,SOLD,12/15/2013 05:48:00 PM,APPROVED 0,47.98,0
GOOGLEPPC,149670,SOLD,12/16/2013 03:46:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149679,SOLD,12/16/2013 11:27:00 AM,APPROVED 0,42.98,0
GOOGLEPPC,149680,SOLD,12/16/2013 09:36:00 AM,APPROVED 0,41.99,0
PROTECT AMERICA,149701,SOLD,12/16/2013 10:47:00 AM,APPROVED 0,46.99,0
BINGPPC,149726,SOLD,12/16/2013 12:27:00 PM,APPROVED 0,31.99,0
PROTECT AMERICA,149756,SOLD,12/16/2013 02:34:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149795,SOLD,12/16/2013 06:19:00 PM,APPROVED 0,54.98,0
PROTECT AMERICA,149804,SOLD,12/16/2013 07:21:00 PM,APPROVED 0,54.98,0
GOOGLEPPC,149881,SOLD,12/17/2013 11:19:00 AM,APPROVED 0,49.99,0
GOOGLEPPC,149949,SOLD,12/22/2013 02:33:00 PM,APPROVED 0,49.99,0
PROTECT AMERICA,149962,SOLD,12/17/2013 02:30:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,149993,SOLD,12/17/2013 04:27:00 PM,APPROVED 0,36.99,0
GOOGLEPPC,150012,SOLD,12/17/2013 07:46:00 PM,APPROVED 0,36.99,99
BINGPPC,150018,SOLD,01/07/2014 08:28:00 PM,APPROVED 0,41.99,118.5
BINGPPC,150024,SOLD,12/17/2013 06:32:00 PM,APPROVED 0,42.99,0
GOOGLEPPC,150034,SOLD,12/17/2013 08:18:00 PM,APPROVED 0,56.98,0
GOOGLEPPC,150072,SOLD,12/18/2013 11:38:00 AM,APPROVED 0,31.99,0
GOOGLEPPC,150164,SOLD,12/18/2013 01:12:00 PM,APPROVED 0,44.99,0
BINGPPC,150239,SOLD,12/19/2013 02:53:00 PM,APPROVED 0,66.98,0
GOOGLEPPC,150273,SOLD,12/18/2013 10:43:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,150280,SOLD,12/20/2013 08:54:00 PM,APPROVED 0,43.99,0
GOOGLEPPC,150302,SOLD,12/19/2013 12:30:00 PM,APPROVED 0,59.99,0
GOOGLEPPC,150337,SOLD,12/19/2013 01:21:00 PM,APPROVED 0,37.99,0
GOOGLEPPC,150351,SOLD,12/19/2013 02:42:00 PM,APPROVED 0,52.98,0
BINGPPC,150372,SOLD,12/31/2013 02:08:00 PM,APPROVED 0,19.99,0
GOOGLEPPC,150396,SOLD,12/19/2013 06:51:00 PM,APPROVED 0,54.98,0
BINGPPC,150426,SOLD,12/19/2013 09:50:00 PM,APPROVED 0,29.99,0
GOOGLEPPC,150440,SOLD,12/20/2013 08:32:00 PM,APPROVED 0,57.98,0
BINGPPC,150447,SOLD,12/20/2013 10:12:00 AM,APPROVED 0,59.99,0
GOOGLEPPC,150474,SOLD,01/09/2014 08:47:00 AM,APPROVED 0,59.99,0
PROTECT AMERICA,150479,SOLD,12/20/2013 08:59:00 AM,APPROVED 0,34.99,0
BINGPPC,150508,SOLD,12/20/2013 11:42:00 AM,APPROVED 0,42.99,0
GOOGLEPPC,150528,SOLD,12/20/2013 02:52:00 PM,APPROVED 0,41.99,0
BINGPPC,150552,SOLD,12/20/2013 04:09:00 PM,APPROVED 0,58.98,0
GOOGLEPPC,150560,SOLD,12/20/2013 05:39:00 PM,APPROVED 0,33.99,0
GOOGLEPPC,150571,SOLD,12/27/2013 07:52:00 AM,APPROVED 0,29.99,49.5
GOOGLEPPC,150611,SOLD,12/21/2013 09:09:00 AM,APPROVED 0,64.98,0
GOOGLEPPC,150635,SOLD,12/23/2013 07:27:00 AM,APPROVED 0,59.99,0
PROTECT AMERICA,150639,SOLD,12/21/2013 05:19:00 PM,APPROVED 0,49.99,0
BINGPPC,150680,SOLD,12/21/2013 11:27:00 AM,APPROVED 0,46.99,0
PROTECT AMERICA,150700,SOLD,12/21/2013 04:08:00 PM,APPROVED 0,64.98,0
GOOGLEPPC,150701,SOLD,12/21/2013 05:03:00 PM,APPROVED 0,46.99,178
GOOGLEPPC,150713,SOLD,12/21/2013 05:02:00 PM,APPROVED 0,64.98,0
GOOGLEPPC,150780,SOLD,12/24/2013 10:48:00 AM,APPROVED 0,56.98,0
GOOGLEPPC,150806,SOLD,12/24/2013 09:50:00 AM,APPROVED 0,44.99,0
PROTECT AMERICA,150823,SOLD,12/23/2013 12:52:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,150836,SOLD,12/23/2013 08:07:00 AM,APPROVED 0,64.98,0
GOOGLEPPC,150837,SOLD,12/29/2013 07:27:00 PM,APPROVED 0,64.99,0
GOOGLEPPC,150861,SOLD,01/06/2014 03:41:00 PM,APPROVED 0,31.99,0
BINGPPC,150862,SOLD,12/22/2013 07:23:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,150912,SOLD,12/23/2013 03:23:00 PM,APPROVED 0,54.98,0
GOOGLEPPC,150921,SOLD,12/23/2013 09:20:00 AM,APPROVED 0,49.99,0
GOOGLEPPC,150925,SOLD,12/23/2013 10:11:00 AM,APPROVED 0,44.99,0
BINGPPC,150975,SOLD,12/24/2013 10:33:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,150978,SOLD,01/01/2014 03:09:00 PM,APPROVED 0,36.99,0
PROTECT AMERICA,150998,SOLD,12/31/2013 02:57:00 PM,APPROVED 0,46.99,257
GOOGLEPPC,151000,SOLD,01/14/2014 09:55:00 AM,APPROVED 0,46.99,0
PROTECT AMERICA,151034,SOLD,12/24/2013 08:41:00 AM,APPROVED 0,31.99,0
BINGPPC,151038,SOLD,12/27/2013 04:11:00 PM,APPROVED 0,49.99,0
PROTECT AMERICA,151040,SOLD,12/23/2013 08:32:00 PM,APPROVED 0,36.99,0
BINGPPC,151058,SOLD,12/24/2013 11:19:00 AM,APPROVED 0,54.99,0
GOOGLEPPC,151062,SOLD,12/24/2013 11:22:00 AM,APPROVED 0,44.99,0
GOOGLEPPC,151064,SOLD,12/24/2013 10:49:00 AM,APPROVED 0,47.99,0
BINGPPC,151109,SOLD,12/24/2013 08:33:00 AM,APPROVED 0,49.99,79
BINGPPC,151156,SOLD,12/27/2013 02:08:00 PM,APPROVED 0,53.99,0
GOOGLEPPC,151157,SOLD,12/24/2013 02:27:00 PM,APPROVED 0,36.99,0
GOOGLEPPC,151180,SOLD,12/24/2013 04:49:00 PM,APPROVED 0,46.99,0
PROTECT AMERICA,151184,SOLD,12/27/2013 03:25:00 PM,APPROVED 0,41.99,0
BINGPPC,151189,SOLD,12/26/2013 10:10:00 AM,APPROVED 0,0,0
BINGPPC,151192,SOLD,12/26/2013 12:05:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,151213,SOLD,12/27/2013 12:38:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,151227,SOLD,12/26/2013 08:55:00 AM,APPROVED 0,19.99,0
GOOGLEPPC,151308,SOLD,12/26/2013 10:45:00 AM,APPROVED 0,31.99,0
GOOGLEPPC,151313,SOLD,12/26/2013 10:56:00 AM,APPROVED 0,51.99,0
GOOGLEPPC,151355,SOLD,12/26/2013 02:11:00 PM,APPROVED 0,41.99,0
PROTECT AMERICA,151384,SOLD,12/26/2013 04:52:00 PM,APPROVED 0,61.98,0
GOOGLEPPC,151396,SOLD,12/27/2013 01:17:00 PM,APPROVED 0,44.99,0
BINGPPC,151447,SOLD,12/27/2013 03:02:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,151486,SOLD,12/27/2013 06:30:00 PM,APPROVED 0,51.99,0
PROTECT AMERICA,151489,SOLD,12/27/2013 08:40:00 AM,APPROVED 0,47.99,0
GOOGLEPPC,151491,SOLD,01/16/2014 07:16:00 PM,APPROVED 0,56.98,0
GOOGLEPPC,151540,SOLD,12/27/2013 11:23:00 AM,APPROVED 0,46.99,0
GOOGLEPPC,151558,SOLD,12/27/2013 11:40:00 AM,APPROVED 0,54.98,0
GOOGLEPPC,151567,SOLD,12/29/2013 06:00:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,151589,SOLD,12/27/2013 02:43:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,151627,SOLD,12/27/2013 05:13:00 PM,APPROVED 0,27.99,0
BINGPPC,151632,SOLD,12/27/2013 06:32:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,151638,SOLD,01/10/2014 08:15:00 PM,APPROVED 0,19.99,0
BINGPPC,151665,SOLD,12/27/2013 09:00:00 PM,APPROVED 0,46.98,0
BINGPPC,151701,SOLD,12/28/2013 03:00:00 PM,APPROVED 0,49.99,0
BINGPPC,151727,SOLD,12/28/2013 09:34:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,151730,SOLD,01/04/2014 03:47:00 PM,APPROVED 0,51.99,0
PROTECT AMERICA,151752,SOLD,12/28/2013 10:52:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,151754,SOLD,12/28/2013 10:38:00 AM,APPROVED 0,19.99,0
GOOGLEPPC,151755,SOLD,01/03/2014 07:01:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,151761,SOLD,12/28/2013 11:40:00 AM,APPROVED 0,36.99,0
GOOGLEPPC,151841,SOLD,12/28/2013 04:50:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,151845,SOLD,12/28/2013 05:09:00 PM,APPROVED 0,61.98,0
BINGPPC,151860,SOLD,12/28/2013 06:42:00 PM,APPROVED 0,46.99,199
GOOGLEPPC,151927,SOLD,12/30/2013 12:08:00 PM,APPROVED 0,31.99,39.5
GOOGLEPPC,151928,SOLD,01/01/2014 12:56:00 PM,APPROVED 0,0,0
GOOGLEPPC,151941,SOLD,12/30/2013 09:04:00 AM,APPROVED 0,49.98,0
GOOGLEPPC,151943,SOLD,12/29/2013 12:14:00 PM,APPROVED 0,56.98,0
GOOGLEPPC,151948,SOLD,12/29/2013 03:16:00 PM,APPROVED 0,44.99,118.5
GOOGLEPPC,151955,SOLD,12/29/2013 02:48:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,151977,SOLD,12/30/2013 08:52:00 AM,APPROVED 0,46.99,99
GOOGLEPPC,152025,SOLD,12/30/2013 11:13:00 AM,APPROVED 0,59.98,0
GOOGLEPPC,152038,SOLD,12/30/2013 10:33:00 AM,APPROVED 0,54.98,0
BINGPPC,152039,SOLD,12/30/2013 11:41:00 AM,APPROVED 0,44.98,0
PROTECT AMERICA,152047,SOLD,12/31/2013 12:01:00 PM,APPROVED 0,51.99,0
PROTECT AMERICA,152097,SOLD,12/31/2013 09:25:00 AM,APPROVED 0,52.98,0
GOOGLEPPC,152121,SOLD,12/30/2013 12:48:00 PM,APPROVED 0,37.99,0
GOOGLEPPC,152126,SOLD,12/30/2013 12:05:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,152151,SOLD,12/31/2013 09:21:00 AM,APPROVED 0,49.99,0
GOOGLEPPC,152248,SOLD,12/30/2013 07:07:00 PM,APPROVED 0,29.99,0
GOOGLEPPC,152278,SOLD,01/01/2014 09:04:00 AM,APPROVED 0,43.99,0
GOOGLEPPC,152292,SOLD,12/31/2013 09:12:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,152316,SOLD,12/31/2013 02:18:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,152352,SOLD,12/31/2013 08:48:00 AM,APPROVED 0,42.99,0
GOOGLEPPC,152367,SOLD,12/31/2013 10:01:00 AM,APPROVED 0,44.99,0
BINGPPC,152379,SOLD,12/31/2013 03:58:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,152395,SOLD,12/31/2013 12:37:00 PM,APPROVED 0,56.98,0
BINGPPC,152447,SOLD,12/31/2013 04:51:00 PM,APPROVED 0,47.99,0
GOOGLEPPC,152451,SOLD,12/31/2013 04:19:00 PM,APPROVED 0,33.99,0
GOOGLEPPC,152453,SOLD,12/31/2013 05:03:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,152476,SOLD,01/02/2014 08:52:00 AM,APPROVED 0,54.99,0
BINGPPC,152573,SOLD,01/01/2014 12:20:00 PM,APPROVED 0,41.98,0
GOOGLEPPC,152575,SOLD,01/08/2014 06:02:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,152595,SOLD,01/01/2014 02:33:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,152617,SOLD,01/01/2014 04:20:00 PM,APPROVED 0,34.99,0
BINGPPC,152627,SOLD,01/03/2014 03:14:00 PM,APPROVED 0,52.98,0
GOOGLEPPC,152631,SOLD,01/01/2014 06:13:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,152679,SOLD,01/02/2014 04:22:00 PM,APPROVED 0,46.99,0
GOOGLEPPC,152696,SOLD,01/02/2014 10:44:00 AM,APPROVED 0,59.99,0
GOOGLEPPC,152724,SOLD,01/02/2014 11:33:00 AM,APPROVED 0,59.99,0
BINGPPC,152735,SOLD,01/02/2014 11:28:00 AM,APPROVED 0,27.99,0
GOOGLEPPC,152737,SOLD,01/02/2014 01:57:00 PM,APPROVED 0,52.99,0
GOOGLEPPC,152744,SOLD,01/02/2014 11:24:00 AM,APPROVED 0,43.99,0
GOOGLEPPC,152755,SOLD,01/02/2014 12:17:00 PM,APPROVED 0,46.99,39.5
GOOGLEPPC,152757,SOLD,01/02/2014 12:37:00 PM,APPROVED 0,59.98,0
GOOGLEPPC,152766,SOLD,01/02/2014 02:25:00 PM,APPROVED 0,46.99,99
GOOGLEPPC,152773,SOLD,01/09/2014 02:55:00 PM,APPROVED 0,51.99,0
BINGPPC,152797,SOLD,01/02/2014 01:49:00 PM,APPROVED 0,41.99,0
PROTECT AMERICA,152798,SOLD,01/09/2014 09:56:00 AM,APPROVED 0,0,0
BINGPPC,152812,SOLD,01/10/2014 11:11:00 AM,APPROVED 0,49.99,0
BINGPPC,152836,SOLD,01/09/2014 04:28:00 PM,APPROVED 0,0,0
GOOGLEPPC,152859,SOLD,01/14/2014 03:56:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,152873,SOLD,01/02/2014 07:29:00 PM,APPROVED 0,31.99,39.5
GOOGLEPPC,152896,SOLD,01/14/2014 12:57:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,152901,SOLD,01/11/2014 05:21:00 PM,APPROVED 0,0,0
GOOGLEPPC,152907,SOLD,01/03/2014 10:34:00 AM,APPROVED 0,41.98,0
PROTECT AMERICA,152932,SOLD,01/03/2014 11:50:00 AM,APPROVED 0,44.99,0
GOOGLEPPC,152945,SOLD,01/03/2014 02:49:00 PM,APPROVED 0,49.99,0
GOOGLEPPC,152952,SOLD,01/03/2014 11:17:00 AM,APPROVED 0,64.99,199
BINGPPC,152987,SOLD,01/03/2014 10:39:00 AM,APPROVED 0,46.99,198
GOOGLEPPC,152989,SOLD,01/06/2014 09:53:00 AM,APPROVED 0,42.99,0
GOOGLEPPC,152992,SOLD,01/03/2014 11:11:00 AM,APPROVED 0,49.99,0
PROTECT AMERICA,153032,SOLD,01/03/2014 01:17:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,153044,SOLD,01/03/2014 02:03:00 PM,APPROVED 0,31.99,0
GOOGLEPPC,153088,SOLD,01/03/2014 04:17:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,153138,SOLD,01/07/2014 09:04:00 AM,APPROVED 0,31.99,0
GOOGLEPPC,153183,SOLD,01/06/2014 06:23:00 PM,APPROVED 0,51.99,0
GOOGLEPPC,153191,SOLD,01/04/2014 04:07:00 PM,APPROVED 0,44.99,0
GOOGLEPPC,153208,SOLD,01/04/2014 09:26:00 AM,APPROVED 0,41.99,0
GOOGLEPPC,153228,SOLD,01/06/2014 05:11:00 PM,APPROVED 0,54.99,0
PROTECT AMERICA,153229,SOLD,01/04/2014 02:25:00 PM,APPROVED 0,41.99,0
GOOGLEPPC,153237,SOLD,01/04/2014 06:38:00 PM,APPROVED 0,42.99,0
BINGPPC,153248,SOLD,01/06/2014 01:08:00 PM,APPROVED 0,36.99,0
BINGPPC,153273,SOLD,01/06/2014 08:37:00 PM,APPROVED 0,61.98,79.05
