Source,Lead_Id,Disposition,DispositionDate,CreditResponse,MonitoringRate,AdditionalEquipment
BINGPPC,154467,BAD PHONE,1/14/14 10:38 AM,,0,0
PROTECT AMERICA,INBOUND CALLBACK,PNS,1/14/14 5:05 PM,,0,0
GOOGLEPPC,INBOUND,KILL LEAD,1/13/14 8:39 AM,,0,0
GOOGLEPPC,154612,PNS,1/13/14 12:02 PM,,0,0
PROTECT AMERICA,154618,KILL LEAD,1/13/14 12:03 PM,,0,0
GOOGLE CALL METRICS,INBOUND,SOLD,1/13/14 12:37 PM,APPROVED 0,19.99,0
GOOGLEPPC,154646,SOLD,1/13/14 2:26 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,NOT SERVICABLE,1/13/14 3:00 PM,,0,0
BINGPPC,INBOUND,PNS,1/13/14 3:33 PM,,0,0
BINGPPC,INBOUND,TRANSFER,1/13/14 4:00 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/13/14 4:15 PM,,0,0
GOOGLEPPC,154694,BAD PHONE,1/14/14 12:51 PM,,0,0
PROTECT AMERICA,INBOUND,PNS,1/13/14 5:11 PM,,0,0
PROTECT AMERICA,INBOUND,PNS,1/13/14 6:07 PM,,0,0
GOOGLEPPC,154764,SOLD,1/14/14 6:22 PM,APPROVED 0,44.99,0
GOOGLEPPC,INBOUND,PNS,1/14/14 8:51 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/14/14 9:27 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/14/14 9:56 AM,APPROVED DCS,0,0
BINGPPC,154802,CALLBACK,1/14/14 7:08 PM,,0,0
GOOGLEPPC,154835,HAS PA,1/15/14 1:35 PM,,0,0
GOOGLEPPC,INBOUND,DNC,1/14/14 2:00 PM,,0,0
GOOGLE CALL METRICS,INBOUND,PNS,1/14/14 2:02 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/14/14 2:01 PM,APPROVED 0,44.99,0
BINGPPC,INBOUND,CALLBACK,1/14/14 3:48 PM,,0,0
GOOGLEPPC,154897,PNS,1/15/14 2:39 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/15/14 8:08 AM,APPROVED 0,49.98,0
PROTECT AMERICA,INBOUND,PNS,1/15/14 9:56 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/15/14 10:11 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/15/14 11:53 AM,,0,0
GOOGLEPPC,155000,,NULL,APPROVED 0,0,0
GOOGLEPPC,155024,PNS,1/15/14 1:27 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/15/14 1:13 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,PNS,1/15/14 1:37 PM,,0,0
GOOGLEPPC,INBOUND,DROPPED CALL,1/15/14 2:03 PM,,0,0
GOOGLEPPC,155031,PNS FOLLOWUP,1/15/14 2:19 PM,,0,0
GOOGLE CALL METRICS,INBOUND,PNS,1/15/14 2:37 PM,,0,0
GOOGLEPPC,INBOUND,NOT SERVICABLE,1/15/14 2:39 PM,,0,0
GOOGLEPPC,155044,,NULL,,0,0
GOOGLEPPC,151624,DNC,11/13/13 2:25 PM,,0,0
BINGPPC,146915,DROPPED CALL,12/5/13 4:07 PM,,0,0
YAHOOPPC,146947,NO ANSWER,12/5/13 11:39 AM,,0,0
GOOGLEPPC,INBOUND,NOT SERVICABLE,12/2/13 9:37 AM,,0,0
GOOGLEPPC,INBOUND,PNS,12/2/13 11:33 AM,,0,0
BINGPPC,INBOUND,SOLD,12/3/13 1:04 PM,APPROVED 0,49.99,0
PROTECT AMERICA,INBOUND CALLBACK,KILL LEAD,12/9/13 8:33 AM,,0,0
GOOGLEPPC,147039,DNC,12/2/13 1:39 PM,,0,0
BINGPPC,INBOUND,PNS,12/2/13 1:49 PM,,0,0
BINGPPC,147049,ANSWERING MACHINE,12/4/13 2:00 PM,,0,0
PROTECT AMERICA,INBOUND,CALLBACK,12/2/13 4:03 PM,,0,0
PROTECT AMERICA,INBOUND CALLBACK,UNDER CONTRACT,12/12/13 4:06 PM,,0,0
GOOGLEPPC,INBOUND,PNS,12/2/13 3:46 PM,,0,0
BINGPPC,INBOUND,KILL LEAD,12/2/13 3:43 PM,,0,0
GOOGLEPPC,INBOUND,DNC,1/7/14 2:20 PM,,0,0
BINGPPC,INBOUND,PNS,1/8/14 10:12 AM,,0,0
BINGPPC,153826,BAD PHONE,1/11/14 5:05 PM,,0,0
BINGPPC,153845,DROPPED CALL,1/12/14 2:24 PM,,0,0
GOOGLEPPC,153867,PNS,1/8/14 4:01 PM,,0,0
GOOGLEPPC,153874,NOT INTERESTED,1/13/14 11:15 AM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/8/14 12:29 PM,APPROVED DCS,0,0
GOOGLEPPC,153913,PNS,1/8/14 5:13 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/8/14 5:19 PM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,PNS,1/8/14 5:01 PM,,0,0
PROTECT AMERICA,INBOUND,CALLBACK,1/8/14 5:53 PM,,0,0
GOOGLEPPC,153943,KILL LEAD,1/15/14 9:18 AM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/8/14 10:56 PM,APPROVED 0,51.98,0
BINGPPC,153977,DNC,1/9/14 11:03 AM,,0,0
PROTECT AMERICA,153993,ANSWERING MACHINE,1/15/14 2:33 PM,,0,0
GOOGLEPPC,154020,NO ANSWER,1/15/14 11:33 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/9/14 12:51 PM,APPROVED 0,44.99,0
GOOGLEPPC,INBOUND,UNDER CONTRACT,1/9/14 11:07 AM,,0,0
GOOGLE CALL METRICS,INBOUND,SOLD,1/9/14 12:59 PM,APPROVED 0,59.99,0
GOOGLEPPC,154050,NOT SERVICABLE,1/9/14 11:53 AM,,0,0
BINGPPC,INBOUND,CALLBACK,1/9/14 12:47 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/9/14 2:26 PM,APPROVED 0,44.99,0
PROTECT AMERICA,INBOUND,SOLD,1/9/14 2:06 PM,APPROVED 0,36.99,0
PROTECT AMERICA,INBOUND,SOLD,1/9/14 6:02 PM,APPROVED 0,54.98,0
BINGPPC,INBOUND,CALLBACK,1/9/14 8:31 PM,,0,0
GOOGLEPPC,154199,UNDER CONTRACT,1/14/14 11:37 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/10/14 10:25 AM,APPROVED 0,54.99,79
GOOGLEPPC,INBOUND,PNS,1/10/14 10:21 AM,,0,0
BINGPPC,INBOUND CALLBACK,UNDER CONTRACT,1/14/14 11:20 AM,,0,0
BINGPPC,154245,KILL LEAD,1/10/14 6:19 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 4:52 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/10/14 5:15 PM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,DROPPED CALL,1/10/14 6:26 PM,,0,0
PROTECT AMERICA,INBOUND,HAS PA,1/10/14 9:19 PM,,0,0
GOOGLEPPC,INBOUND CALLBACK,ANSWERING MACHINE,1/15/14 2:45 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/11/14 1:05 PM,APPROVED 0,49.99,0
GOOGLEPPC,INBOUND,PNS,1/11/14 1:13 PM,,0,0
GOOGLEPPC,154589,CALLBACK,1/13/14 10:33 AM,,0,0
BINGPPC,INBOUND,DROPPED CALL,1/13/14 11:28 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/13/14 11:32 AM,APPROVED DCS,0,0
BINGPPC,154631,PNS,1/13/14 12:47 PM,,0,0
GOOGLE CALL METRICS,INBOUND,PNS,1/13/14 1:37 PM,,0,0
GOOGLEPPC,154649,ANSWERING MACHINE,1/13/14 3:04 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/13/14 3:29 PM,,0,0
PROTECT AMERICA,MANUAL,SOLD,1/13/14 3:34 PM,APPROVED DCS,0,0
PROTECT AMERICA,154687,CALLBACK,1/14/14 4:59 PM,,0,0
PROTECT AMERICA,154692,SOLD,1/13/14 5:43 PM,APPROVED 0,19.99,0
GOOGLEPPC,154721,ANSWERING MACHINE,1/14/14 12:37 PM,,0,0
PROTECT AMERICA,INBOUND,DROPPED CALL,1/15/14 1:05 PM,,0,0
PROTECT AMERICA,154739,PNS,1/14/14 10:05 AM,,0,0
GOOGLEPPC,154767,PNS,1/14/14 5:44 PM,,0,0
GOOGLEPPC,INBOUND,NOT SERVICABLE,1/14/14 9:14 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/14/14 9:38 AM,APPROVED 0,54.98,0
PROTECT AMERICA,INBOUND,SOLD,1/14/14 9:52 AM,APPROVED DCS,0,0
GOOGLEPPC,154844,CALLBACK,1/14/14 1:22 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/14/14 2:05 PM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/14/14 3:00 PM,,0,0
PROTECT AMERICA,154858,SOLD,1/14/14 4:28 PM,APPROVED 0,54.98,0
GOOGLEPPC,INBOUND,PNS,1/14/14 4:55 PM,,0,0
BINGPPC,INBOUND,DROPPED CALL,1/14/14 5:11 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/14/14 5:57 PM,,0,0
PROTECT AMERICA,INBOUND,HAS PA,1/14/14 10:00 PM,,0,0
BINGPPC,INBOUND,SOLD,1/15/14 11:32 AM,APPROVED 0,54.99,0
BINGPPC,155008,PNS,1/15/14 2:49 PM,,0,0
GOOGLEPPC,155009,SOLD,1/15/14 1:04 PM,APPROVED 0,36.99,0
GOOGLEPPC,INBOUND,PNS,1/15/14 1:17 PM,,0,0
GOOGLEPPC,INBOUND,PNS FOLLOWUP,1/15/14 1:27 PM,,0,0
GOOGLE MAPS,INBOUND,PNS,1/15/14 1:49 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/15/14 2:10 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,12/2/13 8:50 AM,APPROVED 0,42.99,0
GOOGLEPPC,146950,UNDER CONTRACT,12/4/13 3:15 PM,,0,0
GOOGLEPPC,INBOUND,PNS,12/2/13 10:26 AM,,0,0
BINGPPC,INBOUND,SOLD,12/2/13 11:56 AM,APPROVED 0,19.99,0
PROTECT AMERICA,INBOUND CALLBACK,NOT SERVICABLE,1/5/14 6:57 PM,,0,0
PROTECT AMERICA,147055,SOLD,12/2/13 2:30 PM,APPROVED 0,44.99,15
PROTECT AMERICA,INBOUND,SOLD,12/2/13 2:14 PM,APPROVED 0,41.98,0
GOOGLEPPC,147070,UNDER CONTRACT,12/3/13 8:28 AM,,0,0
GOOGLEPPC,147071,ANSWERING MACHINE,12/13/13 8:33 AM,,0,0
BINGPPC,INBOUND,DROPPED CALL,12/2/13 2:53 PM,,0,0
PROTECT AMERICA,INBOUND,PNS,12/2/13 2:38 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,12/2/13 4:52 PM,APPROVED 0,49.99,0
GOOGLEPPC,147093,SOLD,12/2/13 4:38 PM,APPROVED 0,41.99,0
GOOGLEPPC,147096,UNDER CONTRACT,12/10/13 9:03 AM,,0,0
GOOGLEPPC,147101,SOLD,12/4/13 4:11 PM,APPROVED DCS,0,0
PROTECT AMERICA,INBOUND,DROPPED CALL,12/2/13 5:32 PM,,0,0
GOOGLEPPC,INBOUND,NOT SERVICABLE,12/2/13 5:40 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,12/2/13 6:56 PM,APPROVED DCS,41.99,199
SEMDIRECT,149408,DNC,NULL,,0,0
GOOGLEPPC,INBOUND,PNS,1/7/14 2:01 PM,,0,0
PROTECT AMERICA,INBOUND,CALLBACK,1/9/14 10:25 AM,,0,0
GOOGLE CALL METRICS,INBOUND,PNS,1/8/14 7:59 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/8/14 8:30 AM,APPROVED 0,44.99,0
PROTECT AMERICA,153833,,NULL,,0,0
GOOGLEPPC,153836,NOT INTERESTED,1/12/14 5:03 PM,,0,0
BINGPPC,INBOUND,CALLBACK,1/8/14 11:12 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/8/14 11:57 AM,APPROVED 0,54.99,0
GOOGLEPPC,INBOUND,SOLD,1/8/14 1:32 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,DNC,1/8/14 2:03 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/8/14 2:17 PM,APPROVED 0,46.98,0
GOOGLEPPC,INBOUND,KILL LEAD,1/8/14 2:09 PM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/8/14 2:32 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/8/14 3:13 PM,,0,0
BINGPPC,INBOUND,PNS,1/8/14 3:46 PM,,0,0
GOOGLEPPC,153915,DROPPED CALL,1/15/14 12:05 PM,,0,0
BINGPPC,INBOUND,PNS,1/8/14 4:13 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/8/14 8:53 PM,,0,0
PROTECT AMERICA,153982,DNC,1/11/14 5:05 PM,,0,0
PROTECT AMERICA,154005,HAS PA,1/9/14 5:16 PM,,0,0
GOOGLEPPC,INBOUND CALLBACK,PNS,1/9/14 8:11 AM,,0,0
PROTECT AMERICA,154022,NO TCPA,1/10/14 12:43 PM,,0,0
BINGPPC,INBOUND,PNS,1/9/14 10:23 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/9/14 10:55 AM,APPROVED DCS,0,0
GOOGLEPPC,154046,SOLD,1/10/14 6:59 PM,APPROVED 0,54.99,0
GOOGLEPPC,INBOUND,HAS PA,1/9/14 12:01 PM,,0,0
GOOGLEPPC,154059,UNDER CONTRACT,1/14/14 8:26 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/9/14 2:19 PM,,0,0
BINGPPC,INBOUND CALLBACK,HAS PA,1/14/14 1:04 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/10/14 9:29 PM,APPROVED 0,56.98,0
GOOGLEPPC,154130,DROPPED CALL,1/13/14 2:46 PM,,0,0
GOOGLEPPC,154192,NOT INTERESTED,1/14/14 5:39 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 10:55 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/10/14 1:51 PM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/10/14 4:29 PM,APPROVED 0,54.99,0
BINGPPC,154347,BAD PHONE,1/11/14 11:08 AM,,0,0
GOOGLEPPC,154350,NOT INTERESTED,1/14/14 11:33 AM,,0,0
BINGPPC,INBOUND,SOLD,1/11/14 1:39 PM,APPROVED 0,54.98,0
PROTECT AMERICA,154408,SOLD,1/11/14 2:31 PM,APPROVED 0,42.99,0
GOOGLEPPC,INBOUND,PNS,1/11/14 6:56 PM,,0,0
GOOGLEPPC,INBOUND,UNDER CONTRACT,1/15/14 10:56 AM,,0,0
GOOGLEPPC,INBOUND,UNDER CONTRACT,1/13/14 9:48 AM,,0,0
BINGPPC,INBOUND,CALLBACK,1/13/14 10:11 AM,,0,0
GOOGLEPPC,INBOUND,PNS,1/13/14 11:26 AM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/13/14 1:25 PM,APPROVED DCS,0,0
GOOGLEPPC,INBOUND,PNS,1/13/14 1:14 PM,,0,0
GOOGLEPPC,154655,HAS PA,1/14/14 5:33 PM,,0,0
BINGPPC,154666,NOT SERVICABLE,1/14/14 5:34 PM,,0,0
BINGPPC,INBOUND,PNS,1/13/14 5:09 PM,,0,0
GOOGLEPPC,INBOUND,CALLBACK,1/14/14 5:14 PM,,0,0
GOOGLEPPC,INBOUND,KILL LEAD,1/13/14 5:23 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,1/13/14 6:34 PM,APPROVED DCS,0,0
PROTECT AMERICA,154726,ANSWERING MACHINE,1/14/14 10:12 AM,,0,0
GOOGLEPPC,154775,SOLD,1/14/14 8:52 AM,APPROVED 0,49.99,0
GOOGLEPPC,INBOUND,PNS,1/14/14 12:16 PM,,0,0
BINGPPC,154822,NOT INTERESTED,1/14/14 2:03 PM,,0,0
GOOGLEPPC,154832,SOLD,1/14/14 1:01 PM,APPROVED DCS,41.99,278
BINGPPC,INBOUND,PNS,1/14/14 12:42 PM,,0,0
GOOGLEPPC,INBOUND,PNS,1/14/14 2:16 PM,,0,0
GOOGLEPPC,INBOUND,ANSWERING MACHINE,1/14/14 8:15 PM,,0,0
GOOGLEPPC,154902,SOLD,1/14/14 6:40 PM,,0,0
GOOGLEPPC,INBOUND,KILL LEAD,1/14/14 6:21 PM,,0,0
GOOGLEPPC,INBOUND VOICEMAIL,SOLD,1/15/14 10:57 AM,APPROVED 0,46.98,0
GOOGLEPPC,INBOUND,PNS FOLLOWUP,1/15/14 9:06 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,1/15/14 12:18 PM,APPROVED 0,51.99,199
BINGPPC,INBOUND,CALLBACK,1/15/14 12:23 PM,,0,0
PROTECT AMERICA,INBOUND,PNS,1/15/14 2:15 PM,,0,0
GOOGLEPPC,155037,SOLD,1/15/14 2:37 PM,APPROVED DCS,0,0
GOOGLEPPC,149884,DNC,NULL,,0,0
GOOGLEPPC,146920,CALLBACK,12/24/13 2:35 PM,,0,0
GOOGLE CALL METRICS,INBOUND,CALLBACK,12/2/13 10:08 AM,,0,0
GOOGLEPPC,INBOUND,SOLD,12/2/13 9:43 AM,APPROVED 0,42.99,0
GOOGLEPPC,146964,ANSWERING MACHINE,12/5/13 1:05 PM,,0,0
PROTECT AMERICA,INBOUND,SOLD,12/2/13 11:45 AM,APPROVED 0,59.99,0
