Parameters:EntityType=OFFLINECONVERSION;TimeZone=-0500;,,,,
Action,Google Click Id,Conversion Name,Conversion Value,Conversion Time
add,CM7L0IGmnrsCFSvl7Aodmy8AzQ,Lead Sold,1547.64,12/7/13 10:31
add,CO3fg_uyq7sCFU5o7AodlE0AEw,Lead Sold,1799.64,12/17/13 11:17
add,CJ-Z6rzG7LsCFUtp7AodLkEAVA,Lead Sold,2159.64,1/7/14 15:35
add,CILpmLaLmLsCFYtQOgodIhsAOw,Lead Sold,1511.64,12/9/13 17:42
add,CPjBlIWS3bsCFShk7Aod208AQw,Lead Sold,2070.64,1/14/14 15:55
add,CNDrxLCc7LsCFTRo7AodsA4Amg,Lead Sold,1250.64,1/14/14 15:04
add,CO6r1KLj4LsCFUMV7AodviQAhA,Lead Sold,1190.64,1/2/14 19:28
add,CKv0rOyLxbsCFUgS7AodKnIATQ,Lead Sold,1619.64,12/22/13 19:22
add,CMCZ7cLOxrsCFct9OgodaVIARQ,Lead Sold,1619.64,12/23/13 10:11
add,CJez5du82LsCFe3m7AodjBkAEw,Lead Sold,1511.64,12/30/13 12:04
add,CJ2z9e723bsCFU9afgodpFoA9Q,Lead Sold,1259.64,1/1/14 16:19
add,CM30zK6x6bsCFaHm7AodQ2IADg,Lead Sold,2519.28,1/6/14 14:30
add,CNqPm7rSzrsCFfPm7Aod_0UAUw,Lead Sold,1511.64,12/26/13 14:10
add,CKbRp8Ly1bsCFa4-Mgod7W0AOA,Lead Sold,1799.64,12/29/13 14:48
add,CPzChIzCvbsCFdE-MgodfFYA2Q,Lead Sold,1979.28,12/19/13 18:50
add,CKycmObvuLsCFSISMwodEBkAdA,Lead Sold,1151.64,12/18/13 11:37
add,CJmo-NzO0bsCFa4-Mgod7W0AOA,Lead Sold,719.64,1/10/14 20:15
add,CNOT8f6urbsCFbFxOgodr3QANw,Lead Sold,1799.64,12/13/13 15:29
add,CLiB167657sCFWQOOgodW30AnQ,Lead Sold,2117.28,1/5/14 16:32
add,CMaTx-bZ4rsCFUgS7AodKnIATQ,Lead Sold,1151.64,1/3/14 14:02
add,CODI0d364rsCFZZsfgodvQsAog,Lead Sold,1871.64,1/3/14 16:17
add,CK7U3oGN6rsCFWQOOgodW30AnQ,Lead Sold,1871.64,1/6/14 12:43
add,CIv-i9mL3rsCFc6TfgodLRwA2g,Lead Sold,1799.64,1/1/14 18:12
add,COC4koDA3bsCFQISMwodCmkA_Q,Lead Sold,1871.64,1/8/14 18:01
add,CLu0hJXX4bsCFUQ6Qgodj1wAfQ,Lead Sold,2538.64,1/3/14 11:17
add,CKbkvtOL5bsCFeU5Qgod3SQAbA,Lead Sold,1547.64,1/4/14 18:37
add,CKWX5Pz_57sCFeHm7AoduC0Auw,Lead Sold,1799.28,1/5/14 16:42
add,CJmIoqHiv7sCFSdp7Aod4h4A1w,Lead Sold,1223.64,12/20/13 17:38
add,CLCe4MK32LsCFfPm7Aod_0UAUw,Lead Sold,1367.64,12/30/13 12:47
